Symbol,Product Description,Asset Class
WMFFX,WASHINGTON MUTUAL INVESTORS FUND CL F2,Large Cap Value
FZANX,FIDELITY ADVISOR NEW INSIGHTS FUND CL Z,Large Cap Growth
GSFTX,COLUMBIA DIVIDEND INCOME FUND INSTL CL,Large Cap Value
GFFFX,AMERICAN FUNDS GROWTH FUND OF AMERICA FUND CL F2,Large Cap Growth
PIMIX,PIMCO INCOME FUND INSTL CL,Multi Sector Bonds
MEIIX,MFS VALUE FUND CL I,Large Cap Value
FTCS,FIRST TRUST CAPITAL STRENGTH ETF,Large Cap Blend
SEEGX,JPMORGAN LARGE CAP GROWTH FUND CL I,Large Cap Growth
NBPIX,NEUBERGER BERMAN LARGE CAP VALUE INSTL CL,Large Cap Value
SVBIX,JOHN HANCOCK BALANCED FUND CL I,Asset Allocation
HMEZX,NEXPOINT MERGER ARBITRAGE FUND CL Z,Hedged/Enhanced
VDIGX,VANGUARD DIVIDEND GROWTH FUND INVESTOR CL,Large Cap Blend
FVD,FIRST TRUST VALUE LINE DIVIDEND INDEX FUND,Large Cap Value
FCNTX,FIDELITY CONTRAFUND,Large Cap Growth
GTEYX,GATEWAY FUND CL Y,Hedged/Enhanced
FBND,FIDELITY TOTAL BOND ETF,Intermediate Term Bonds
FINFX,AMERICAN FUNDS FUNDAMENTAL INVESTORS FUND CL F2,Large Cap Blend
FSSZX,FIDELITY ADVISOR STOCK SELECTOR SMALL CAP FD CL Z,Small Cap Core
MDYG,SPDR S&P 400 MID CAP GROWTH ETF,Mid-Cap Growth
MTFGX,NYLI MACKAY STRATEGIC MUNI ALLOCATION FD CL I,Intermediate Muni
AMEFX,AMERICAN FUNDS INCOME FUND OF AMERICA FD CL F2,Multi-Asset Income
ANNPX,VIRTUS CONVERTIBLE FUND INSTL CL,Convertible Bonds
JITIX,JPMORGAN NATIONAL MUNICIPAL INCOME FUND CL I,Intermediate Muni
VEVIX,VICTORY SYCAMORE ESTABLISHED VALUE FUND CL I,Mid-Cap Value
SMGIX,COLUMBIA CONTRARIAN CORE FUND INSTL CL,Large Cap Blend
WFMIX,ALLSPRING SPECIAL MID CAP VALUE FD CL I,Mid-Cap Value
AUGW,ALLIANZIM U.S. LARGE CAP BUFFER 20AUG ETF,Hedged/Enhanced
TRAIX,T. ROWE PRICE CAPITAL APPRECIATION FD CL I,Asset Allocation
PDGIX,T. ROWE PRICE DIVIDEND GROWTH FUND CL I,Large Cap Blend
FLMVX,JPMORGAN MID CAP VALUE FUND CL L,Mid-Cap Value
VIG,VANGUARD DIVIDEND APPRECIATION ETF,Large Cap Blend
JBALX,JANUS HENDERSON BALANCED FUND CL I,Asset Allocation
PPSIX,PRINCIPAL SPECTRUM PREFERRED AND CPTL SECS INC FD,Preferred Stock
LCEYX,INVESCO DIVERSIFIED DIVIDEND FUND CL Y,Large Cap Value
BUFR,FT VEST LADDERED BUFFER ETF,Hedged/Enhanced
APRW,ALLIANZIM U.S. LARGE CAP BUFFER 20 APR ETF,Hedged/Enhanced
APHJX,ARTISAN INTERNATIONAL SMALL-MID FUND INSTL CL,International Stock (Small/Mid Cap)
QUS,SPDR MSCI USA STRATEGICFACTORS ETF,Large Cap Blend
SMCFX,AMERICAN FUNDS SMALLCAP WORLD FUND CL F2,International Stock (Small/Mid Cap)
MCNVX,NYLI MACKAY CONVERTIBLE FUND CL I,Convertible Bonds
FIQSX,FIDELITY ADVISOR FLOATING RT HIGH INCOME FD,High Yield Bonds
JEPQ,JPMORGAN NASDAQ EQUITY PREMIUM INCOME ETF,Hedged/Enhanced
